
58-  1, 3, 5, 8,42,43			6,32,38,42,45,47
59-  2,25,27,34,35,44			9,11,18,21,22,41
60-  4, 5, 7,34,40,42			3,10,18,32,35,38
61- 10,17,21,23,25,47			1, 5,11,14,33,40
62- 14,17,20,34,35,46			11,19,23,27,30,47
63-  2, 3,14,19,27,28			7,19,20,25,28,42
64-  1, 5,31,33,34,41			14,16,27,29,44,46
65- 16,20,25,28,40,49			4, 8, 9,19,39,42
66- 11,23,34,35,41,47			6,12,13,17,19,44
67- 14,15,36,47,48,49			18,25,30,37,41,49
68-  6,16,19,26,29,45			4,19,20,28,40,49
69-  1, 8,26,27,30,44			5, 7,11,19,42,46
70- 11,19,21,36,41,42			19,25,28,29,34,44
71-  3, 9,11,24,30,37			2,12,14,23,24,48
72-  5,18,32,35,43,49			11,26,32,33,39,47
73- 10,12,31,41,42,43			7,21,24,29,34,49
74- 12,14,17,20,33,44			11,13,16,21,22,37
75-  3,12,18,21,31,49			3,18,31,41,43,48
76- 11,19,32,36,38,44			16,20,23,29,42,46
77-  1, 8, 9,28,33,36			3, 6,10,15,31,43
78-  4, 6, 8,11,16,29			8,12,22,38,44,48
79- 13,16,19,23,24,41			3, 5,18,27,32,46
80-  1,25,26,31,33,46			1, 3, 4, 8,32,35
81- 22,24,31,38,41,44			12,24,25,41,45,49
82-  1,19,23,27,29,41			9,24,26,32,42,47
83-  2, 5,18,25,33,43			13,16,30,31,37,38
84- 14,25,26,32,37,47			4, 9,14,16,23,48
85-  6,21,33,36,44,45			9,11,15,17,20,48
86-  4, 9,38,43,45,46			6,25,39,40,46,49
87-  7,19,21,27,28,47			21,23,30,34,36,46
88-  5, 7,10,21,30,43			7,24,32,39,43,47
89-  5,25,27,37,46,48			3,10,26,31,37,38
90- 17,25,31,33,38,44			18,19,22,30,32,34
91-  2, 9,20,21,30,38			1, 2, 5, 9,21,42
92- 17,20,27,29,32,33			11,28,32,36,44,46
93- 15,16,21,30,46,49			1, 7,19,24,36,38
94- 15,17,18,22,41,43			13,15,18,22,28,47
95- 12,26,29,30,36,38			5,19,22,26,30,49
96-  7, 8,14,23,40,48			12,20,42,43,48,49
97-  7, 9,30,33,42,43			3, 9,15,19,23,34
98-  7, 8,13,17,32,37			1,11,17,29,35,43
99-  3, 6, 8, 9,12,44			1, 6, 9,22,24,29
100-  2,15,35,41,42,46			15,23,30,32,37,38
101-  5,13,17,28,35,49			18,21,27,30,36,44
102- 23,24,30,42,47,48			2, 6,29,40,44,48
103-  2, 5,13,26,41,44			7,12,14,24,28,33

