
84-2, 3,19,27,32,41		2, 5,23,25,31,49		15,18,29,31,35,45
85-6, 7,12,16,34,49		9,10,26,31,34,49		3,11,17,26,44,48
86-8,14,31,32,39,45		11,13,22,29,37,42		6, 8,10,22,28,47
87-1, 3,11,12,37,40		6,18,22,24,30,49		3,14,19,32,33,49
88-6, 8,17,29,35,44		1, 4,11,21,34,37		6,15,23,33,39,47
89-13,25,31,40,42,47		7,10,14,35,39,47		11,32,34,38,43,49
90-1, 7,12,23,25,29		2,20,21,25,28,35		6, 7,10,16,44,48
91-2, 8,10,24,43,47		7, 9,11,18,44,45		8, 9,36,39,45,46
92-7,17,20,22,31,32		11,17,18,38,44,48		10,16,19,32,34,47
93-3,11,37,45,48,49		5, 6,20,22,26,49		5, 6,30,33,34,45
94-3,11,19,20,34,41		4, 9,10,28,44,49		2, 3,10,17,19,41
95-8, 9,11,16,25,30		13,16,33,38,43,47		13,14,18,25,39,44
96-10,12,13,23,42,45		10,12,15,16,33,36		1, 6, 9,13,31,36
97-20,21,23,30,38,41		1, 5,11,32,35,41		12,13,20,28,35,49
98-16,34,38,44,48,49		7,20,25,29,31,37		7,19,36,43,44,48
99-4,21,28,32,43,44		9,14,15,18,37,41		5,15,31,39,46,47
100-7,16,27,35,41,45		8,21,26,31,41,48		5, 8,13,19,23,42
101-4, 6,20,21,22,47		3, 4,15,22,36,43		1, 6,12,19,27,40
102-6,12,21,26,36,48		21,31,35,38,40,41		7, 9,13,26,40,42
103-16,19,26,31,34,46		2,22,35,42,46,49		11,12,17,26,27,41
104-7,13,16,19,20,34		5,16,26,31,35,36		2, 9,16,40,44,45
105-5, 7,14,18,28,32		3, 8,36,38,41,46		7,20,26,36,38,49
