 76-9,27,34,36,37,41      6,11,36,40,45,46        2,5,16,22,31,40
 77-2,6,13,27,42,46       3,5, 9,22,30,48         2,8,21,33,38,39
 78-3,9,22,31,35,46       2,4,17,19,21,38         6,9,10,18,37,47
 79-1,2,15,29,33,46       4,9,22,30,31,45         6,17,31,37,41,47
 80-13,20,25,41,42,48     3,18,23,27,43,45        7,8,22,25,36,48
 81-8,11,18,32,34,40      1,21,28,33,40,49        21,24,34,36,42,45
 82-15,17,21,29,36,37     10,31,36,37,45,48       2,18,19,25,36,40
 83-1,4,13,15,28,43       2,19,31,34,35,44        4,8,35,42,43,49
 84-2,3,11,27,34,36       11,21,32,33,36,49       12,14,17,23,34,46
 85-1,21,27,28,42,47      9,20,24,32,38,43        3,15,18,19,31,40
 86-5,8,12,27,37,44       6,8,16,27,39,46         18,20,31,37,38,49
 87-18,29,31,35,44,46     5,14,17,19,30,39        2,6,10,16,31,42
 88-5,6,15,30,39,40       2,17,21,26,28,42        1,21,27,36,43,44
 89-12,16,19,27,39,47     15,28,30,35,36,42       2,10,17,29,35,36
 90-9,10,17,18,28,36      3,31,37,38,42,49        4,6,19,35,42,48
 91-18,20,25,32,43,45     6,9,13,17,18,47         11,16,22,27,31,35
 92-8,10,24,29,32,44      8,19,25,37,39,48        12,16,20,23,31,45
 93-25,28,33,39,46,47     11,20,25,37,48,49       4,5,16,26,33,46
 94-1,18,19,22,36,44      1,9,29,43,45,47         34,36,44,45,46,47
 95-22,27,31,32,45,49     6,13,20,28,35,49        1,32,36,37,45,48
 96-6,12,23,26,30,47      7,10,13,23,24,34        2,12,16,43,44,45
 97-13,16,25,38,45,47     13,20,24,33,36,39       2,3,11,28,31,42
 98-11,28,31,34,45,47     8,9,12,21,23,24         7,35,36,38,43,48
 99-8,16,17,28,38,40      23,27,37,43,47,48       6,13,20,24,27,38
100-26,29,31,33,39,43     21,22,29,32,43,46       9,10,27,28,35,48
101-14,22,34,35,38,46     1,18,24,40,43,48        3,4,12,14,42,43
102-2,18,21,23,31,41      20,22,23,37,45,47       1,6,25,33,47,49
103-7,12,15,24,26,49      22,31,37,39,40,44       4,7,12,22,24,26
